radio,mcc,mnc,operator,lac,cellid,lat,lon,range,averageSignal,created,sample_data,network_type,country,region_type,lat_normalized,lon_normalized,range_normalized,averageSignal_normalized
LTE,262,1,Telekom,2565,27202,48.15985197248401,11.582803578219162,908,-65,2025-09-23 15:31:15,True,4G,Germany,Munich City Center,0.5344843017052314,0.5615572719818236,0.0117442366246194,0.6896551724137931
GSM,262,1,Telekom,2713,20073,48.158085518628084,11.56154758688274,1599,-59,2025-07-12 17:10:57,True,2G,Germany,Munich City Center,0.5285773889037665,0.5185826674887135,0.08688560243584167,0.896551724137931
LTE,262,2,Vodafone,4220,31661,48.15076622348439,11.562045860791896,1297,-59,2025-01-24 01:38:04,True,4G,Germany,Munich City Center,0.5041021171400097,0.5195900598909908,0.05404523705959113,0.896551724137931
LTE,262,7,O2,4410,13013,48.14709214301796,11.579496000132847,1158,-59,2024-12-14 13:22:35,True,4G,Germany,Munich City Center,0.4918162185483547,0.554870128679978,0.038929969551979124,0.896551724137931
GSM,262,7,O2,1557,22709,48.13181800831079,11.598303207754363,827,-78,2025-06-29 08:39:26,True,2G,Germany,Munich City Center,0.44074045365913134,0.5928938696743378,0.00293605915615485,0.2413793103448276
GSM,262,1,Telekom,3056,14629,48.13107143884601,11.559227749138861,1148,-66,2025-04-29 11:07:32,True,2G,Germany,Munich City Center,0.4382439713910584,0.513892502351104,0.03784254023488473,0.6551724137931034
NR,262,2,Vodafone,2295,17734,48.14171916347916,11.597529901207059,1777,-69,2025-08-17 18:28:11,True,5G,Germany,Munich City Center,0.4738493061870647,0.5913304261022958,0.10624184428012179,0.5517241379310345
NR,262,1,Telekom,4187,17934,48.13340441760817,11.566204996848972,1772,-57,2025-09-08 08:27:02,True,5G,Germany,Munich City Center,0.4460453085556314,0.5279988526994274,0.1056981296215746,0.9655172413793104
GSM,262,1,Telekom,3562,12007,48.14591754340725,11.577857207575482,817,-68,2024-11-30 23:08:25,True,2G,Germany,Munich City Center,0.4878884298581538,0.5515568763886884,0.0018486298390604612,0.5862068965517241
LTE,262,1,Telekom,2675,30457,48.13430519002393,11.57576943770759,941,-60,2024-12-15 01:03:36,True,4G,Germany,Munich City Center,0.44905743598596787,0.5473358977984525,0.015332753371030882,0.8620689655172413
UMTS,262,1,Telekom,1825,38520,48.141880559842306,11.56538060404625,1936,-66,2025-07-29 01:53:37,True,3G,Germany,Munich City Center,0.47438900567617587,0.5263321247598453,0.12353197042192257,0.6551724137931034
LTE,262,1,Telekom,4975,18234,48.143283572260735,11.579069369502102,1533,-61,2025-10-04 07:14:18,True,4G,Germany,Munich City Center,0.47908059271492914,0.5540075821004874,0.0797085689430187,0.8275862068965517
GSM,262,2,Vodafone,3258,36785,48.153228724305286,11.591264540022397,1706,-61,2025-05-26 17:43:05,True,2G,Germany,Munich City Center,0.5123365680846269,0.5786633425183854,0.09852109612875164,0.8275862068965517
LTE,262,2,Vodafone,1513,41482,48.13264861203843,11.550036774662402,1301,-80,2024-12-26 04:12:18,True,4G,Germany,Munich City Center,0.44351794132193656,0.4953105182516225,0.05448020878642888,0.1724137931034483
LTE,262,2,Vodafone,1710,20811,48.131824293779836,11.556083976756286,1894,-77,2025-08-02 21:15:28,True,4G,Germany,Munich City Center,0.4407614718801623,0.5075365355735842,0.11896476729012614,0.27586206896551724
UMTS,262,7,O2,1014,30047,48.156907112167524,11.593015767997517,1205,-83,2024-12-20 04:46:10,True,3G,Germany,Munich City Center,0.5246368703423264,0.5822039127236013,0.04404088734232275,0.06896551724137931
LTE,262,1,Telekom,4052,20991,48.153454012532976,11.55851175118264,1867,-61,2025-05-16 07:01:32,True,4G,Germany,Munich City Center,0.5130899180301633,0.512444923242727,0.11602870813397129,0.8275862068965517
LTE,262,1,Telekom,4892,18238,48.1515756639792,11.570467513212133,1679,-77,2025-04-25 21:18:41,True,4G,Germany,Munich City Center,0.5068088362568348,0.5366166561202624,0.09558503697259678,0.27586206896551724
LTE,262,1,Telekom,3140,44170,48.144525603956396,11.58743378827066,1868,-69,2025-02-24 10:13:47,True,4G,Germany,Munich City Center,0.48323387014037655,0.5709184653759058,0.11613745106568073,0.5517241379310345
LTE,262,2,Vodafone,4796,16343,48.159125530176084,11.551947898610246,1933,-56,2024-10-12 19:20:11,True,4G,Germany,Munich City Center,0.5320551234089342,0.49917436042656593,0.12320574162679426,1.0
UMTS,262,7,O2,1485,26187,48.14535297196808,11.59292905527991,1573,-81,2025-07-02 11:52:39,True,3G,Germany,Munich City Center,0.48600053776848245,0.5820286000465912,0.08405828621139626,0.13793103448275862
NR,262,1,Telekom,4601,23449,48.13146061237687,11.582218571176641,1415,-68,2025-04-05 08:54:25,True,5G,Germany,Munich City Center,0.4395453436877244,0.5603745256266855,0.06687690300130492,0.5862068965517241
LTE,262,2,Vodafone,2200,18959,48.146105634075205,11.597222823685842,1047,-71,2025-07-30 01:45:00,True,4G,Germany,Munich City Center,0.48851739345697515,0.5907095877318724,0.026859504132231406,0.4827586206896552
GSM,262,1,Telekom,4905,18133,48.13202783408993,11.579301596390737,1578,-76,2024-11-02 11:32:20,True,2G,Germany,Munich City Center,0.44144209812991453,0.5544770901339534,0.08460200086994345,0.3103448275862069
NR,262,7,O2,3393,32469,48.13499341710452,11.570410932209633,1959,-70,2025-02-05 02:57:41,True,5G,Germany,Munich City Center,0.45135882491780577,0.5365022626692215,0.12603305785123967,0.5172413793103449
NR,262,1,Telekom,2811,28123,48.15780052585839,11.580980650581887,1232,-78,2025-01-19 02:28:48,True,5G,Germany,Munich City Center,0.5276243906502466,0.5578717419591804,0.0469769464984776,0.2413793103448276
NR,262,1,Telekom,2510,35789,48.15026451795378,11.589686759890563,1323,-70,2025-06-10 22:45:06,True,5G,Germany,Munich City Center,0.5024244447732065,0.5754734429710294,0.05687255328403654,0.5172413793103449
UMTS,262,2,Vodafone,1559,24994,48.159339550373666,11.575503777546635,1089,-79,2024-12-23 14:46:04,True,3G,Germany,Munich City Center,0.5327707937564081,0.5467987955684994,0.03142670726402784,0.20689655172413793
NR,262,2,Vodafone,2830,34668,48.1596266877257,11.587038510760367,1009,-83,2024-11-13 17:45:51,True,5G,Germany,Munich City Center,0.5337309633610682,0.5701193074161093,0.022727272727272728,0.06896551724137931
LTE,262,7,O2,3569,10650,48.13987085055405,11.577384313613846,1629,-64,2025-03-29 16:15:17,True,4G,Germany,Munich City Center,0.467668661704439,0.5506007962582995,0.09014789038712484,0.7241379310344828
LTE,262,7,O2,4233,33998,48.15865022191569,11.595086802463955,1132,-58,2025-05-29 06:38:04,True,4G,Germany,Munich City Center,0.5304657218864866,0.5863910562765936,0.03610265332753371,0.9310344827586207
LTE,262,1,Telekom,3211,45245,48.151172839591005,11.578119000138662,1328,-58,2025-06-10 14:38:37,True,4G,Germany,Munich City Center,0.5054618163347508,0.5520861592475219,0.05741626794258373,0.9310344827586207
LTE,262,2,Vodafone,2989,28269,48.13314955640233,11.572759684649737,835,-75,2025-02-22 00:14:45,True,4G,Germany,Munich City Center,0.4451930683941832,0.5412508865074693,0.003806002609830361,0.3448275862068966
LTE,262,2,Vodafone,1466,26790,48.14821973110458,11.593241932058447,1787,-77,2025-07-11 01:46:04,True,4G,Germany,Munich City Center,0.49558680360004453,0.5826611631484431,0.10732927359721618,0.27586206896551724
GSM,262,1,Telekom,2967,17181,48.13652506243513,11.580291370266568,1772,-56,2024-11-05 18:46:06,True,2G,Germany,Munich City Center,0.45648055248535674,0.5564781796234186,0.1056981296215746,1.0
LTE,262,2,Vodafone,4930,11859,48.15164050323136,11.586971797624678,1058,-66,2025-03-29 16:09:38,True,4G,Germany,Munich City Center,0.5070256547190566,0.5699844291798805,0.028055676381035233,0.6551724137931034
NR,262,7,O2,1731,19019,48.13488730252968,11.584790468921879,1043,-57,2025-03-19 12:07:57,True,5G,Germany,Munich City Center,0.45100398432095357,0.5655742966770686,0.02642453240539365,0.9655172413793104
LTE,262,7,O2,2700,28208,48.135999962002536,11.581008521133924,1396,-79,2025-06-21 10:31:07,True,4G,Germany,Munich City Center,0.45472464900848314,0.5579280896463729,0.06481078729882557,0.20689655172413793
LTE,262,1,Telekom,4209,34220,48.152236178143596,11.55206217126286,1447,-81,2025-07-10 22:45:50,True,4G,Germany,Munich City Center,0.5090175549052818,0.49940539279634405,0.07035667681600696,0.13793103448275862
GSM,262,2,Vodafone,2219,19077,48.14209766141559,11.59052141667178,898,-73,2025-07-09 04:06:01,True,2G,Germany,Munich City Center,0.47511497995404683,0.577160922255933,0.010656807307525011,0.41379310344827586
LTE,262,7,O2,3845,16524,48.14672838605381,11.558481022849133,1230,-60,2025-02-09 22:15:30,True,4G,Germany,Munich City Center,0.4905998376839815,0.5123827977949728,0.046759460635058724,0.8620689655172413
LTE,262,1,Telekom,4545,49992,48.1511720749637,11.58894623257053,1586,-80,2025-05-24 15:55:13,True,4G,Germany,Munich City Center,0.5054592594681885,0.5739762712705381,0.08547194432361896,0.1724137931034483
GSM,262,2,Vodafone,1745,43099,48.14329122063986,11.570650376863638,1074,-58,2024-11-30 18:29:09,True,2G,Germany,Munich City Center,0.47910616842323905,0.5369863633230554,0.029795563288386256,0.9310344827586207
GSM,262,2,Vodafone,2534,31260,48.13052689581205,11.55384144814256,1161,-79,2025-07-31 16:30:42,True,2G,Germany,Munich City Center,0.4364230530537611,0.5030026712755579,0.03925619834710744,0.20689655172413793
NR,262,7,O2,1567,43181,48.141006103799945,11.556363298107991,1700,-65,2025-04-17 20:23:54,True,5G,Germany,Munich City Center,0.471464878576222,0.5081012575113205,0.09786863853849499,0.6896551724137931
NR,262,7,O2,3480,38455,48.13486145251115,11.56217901112879,1109,-57,2025-09-16 16:46:18,True,5G,Germany,Munich City Center,0.45091754345252966,0.5198592584889586,0.03360156589821662,0.9655172413793104
LTE,262,1,Telekom,2515,19739,48.148010517566284,11.56679268577377,890,-80,2025-08-30 19:56:00,True,4G,Germany,Munich City Center,0.4948872064249104,0.5291870211884162,0.0097868638538495,0.1724137931034483
LTE,262,2,Vodafone,2763,31654,48.15039605634729,11.557497618084149,1255,-59,2025-06-20 21:39:57,True,4G,Germany,Munich City Center,0.5028643010524436,0.5103945851464564,0.04947803392779469,0.896551724137931
UMTS,262,2,Vodafone,2686,32155,48.15832744984679,11.573793312051682,962,-83,2025-01-30 23:07:35,True,3G,Germany,Munich City Center,0.5293863919852986,0.543340637490559,0.0176163549369291,0.06896551724137931
UMTS,262,7,O2,1028,31594,48.15729218331314,11.572023016174798,1842,-79,2025-02-24 06:07:21,True,3G,Germany,Munich City Center,0.5259245245156156,0.5397615164822374,0.11331013484123532,0.20689655172413793
GSM,262,2,Vodafone,3702,44813,48.139825013705774,11.575684436891006,1999,-81,2025-04-27 16:31:42,True,2G,Germany,Munich City Center,0.46751538610942067,0.5471640461818191,0.1303827751196172,0.13793103448275862
LTE,262,1,Telekom,4552,41664,48.143186647763,11.550129436301765,1442,-65,2025-06-17 12:27:46,True,4G,Germany,Munich City Center,0.47875648316940594,0.4954978582462742,0.06981296215745976,0.6896551724137931
LTE,262,1,Telekom,4294,45356,48.13156156233079,11.589064777596672,1609,-57,2025-02-26 22:27:07,True,4G,Germany,Munich City Center,0.43988291411058256,0.5742159413726026,0.08797303175293605,0.9655172413793104
UMTS,262,2,Vodafone,1284,11964,48.13207514004449,11.555308932697468,1272,-83,2025-10-05 03:50:20,True,3G,Germany,Munich City Center,0.4416002863257947,0.505969579162788,0.05132666376685516,0.06896551724137931
NR,262,1,Telekom,4917,39970,48.14577866092527,11.597895794139971,1183,-66,2025-03-13 01:12:10,True,5G,Germany,Munich City Center,0.4874240153997869,0.5920701753725063,0.04164854284471509,0.6551724137931034
LTE,262,1,Telekom,2054,18585,48.156516806874315,11.599305902445606,1685,-84,2025-06-25 09:51:42,True,4G,Germany,Munich City Center,0.5233317135021425,0.5949210820071577,0.09623749456285341,0.034482758620689655
LTE,262,2,Vodafone,1807,19763,48.15462876156469,11.55368674773088,1826,-78,2024-10-22 17:03:18,True,4G,Germany,Munich City Center,0.5170182063749952,0.5026899035056803,0.1115702479338843,0.2413793103448276
GSM,262,1,Telekom,4408,15359,48.14477054981956,11.576192312341256,1291,-69,2025-04-19 13:29:43,True,2G,Germany,Munich City Center,0.4840529540071555,0.5481908506371282,0.053392779469334496,0.5517241379310345
NR,262,1,Telekom,1446,31461,48.159441378576396,11.575474914305724,1034,-75,2025-02-27 01:02:42,True,5G,Germany,Munich City Center,0.5331113009891553,0.5467404408983796,0.0254458460200087,0.3448275862068966
LTE,262,7,O2,1055,32621,48.13439088244386,11.596167802862476,1082,-62,2025-05-18 03:35:27,True,4G,Germany,Munich City Center,0.4493439861557176,0.5885765842930522,0.030665506742061765,0.7931034482758621
LTE,262,7,O2,2297,32321,48.152108863597874,11.579910601238675,1908,-71,2025-01-05 07:35:25,True,4G,Germany,Munich City Center,0.5085918229126721,0.5557083543954172,0.12048716833405829,0.4827586206896552
LTE,262,2,Vodafone,3875,23967,48.153505446533885,11.57752818082282,1072,-66,2025-04-24 08:26:50,True,4G,Germany,Munich City Center,0.5132619101585625,0.5508916618456697,0.02957807742496738,0.6551724137931034
LTE,262,2,Vodafone,4107,48080,48.13289907313858,11.56790130044091,932,-75,2025-06-18 10:55:29,True,4G,Germany,Munich City Center,0.4443554678012085,0.5314283787474023,0.014354066985645933,0.3448275862068966
GSM,262,2,Vodafone,2682,45095,48.137305440117146,11.560643251587061,1632,-77,2025-02-19 04:08:56,True,2G,Germany,Munich City Center,0.4590900873477513,0.5167543146706356,0.09047411918225315,0.27586206896551724
NR,262,2,Vodafone,2041,36432,48.158177254696945,11.554255334382008,1363,-68,2025-02-04 16:12:16,True,5G,Germany,Munich City Center,0.5288841486629805,0.5038394516996703,0.061222270552414096,0.5862068965517241
LTE,262,1,Telekom,3732,46705,48.13940610078082,11.585183400286713,1352,-84,2025-04-25 03:37:33,True,4G,Germany,Munich City Center,0.4661145671121844,0.5663687112837278,0.06002609830361026,0.034482758620689655
LTE,262,7,O2,4404,20259,48.14295267153434,11.553005080401006,913,-85,2025-09-04 14:55:52,True,4G,Germany,Munich City Center,0.47797408108418066,0.5013117328321224,0.012287951283166594,0.0
GSM,262,1,Telekom,3214,47147,48.15483445613243,11.593455881212988,1204,-80,2025-09-23 18:13:03,True,2G,Germany,Munich City Center,0.517706036329508,0.5830937179115913,0.043932144410613314,0.1724137931034483
NR,262,7,O2,4100,15194,48.15116462101245,11.551278720529318,1126,-78,2025-01-08 14:58:26,True,5G,Germany,Munich City Center,0.5054343339146883,0.49782144007069123,0.035450195737277077,0.2413793103448276
GSM,262,2,Vodafone,1025,26961,48.14209888943109,11.571068919598948,1172,-58,2025-08-23 10:32:45,True,2G,Germany,Munich City Center,0.47511908636217487,0.5378325580842765,0.040452370595911266,0.9310344827586207
NR,262,2,Vodafone,4381,38126,48.130786642140954,11.598254693342444,1483,-65,2025-01-05 15:37:55,True,5G,Germany,Munich City Center,0.43729162876560856,0.5927957849681751,0.07427142235754676,0.6896551724137931
NR,262,1,Telekom,2659,37196,48.133851239641885,11.58820577295548,1082,-62,2025-03-03 03:07:58,True,5G,Germany,Munich City Center,0.4475394538921058,0.5724792364535645,0.030665506742061765,0.7931034482758621
UMTS,262,7,O2,2529,13555,48.13223431209318,11.555231550402524,1184,-70,2025-07-22 14:09:20,True,3G,Germany,Munich City Center,0.4421325478444789,0.5058131304012446,0.041757285776424534,0.5172413793103449
LTE,262,1,Telekom,3828,28701,48.14449895915839,11.573757389459352,1184,-62,2025-01-28 10:23:37,True,4G,Germany,Munich City Center,0.4831447715783611,0.5432680104757415,0.041757285776424534,0.7931034482758621
GSM,262,1,Telekom,1507,42295,48.137957632391235,11.594822320134131,1535,-73,2025-02-18 05:41:23,True,2G,Germany,Munich City Center,0.4612709781080173,0.5858563353435777,0.07992605480643758,0.41379310344827586
UMTS,262,7,O2,1582,49154,48.150148634531206,11.596868268816161,992,-63,2025-05-15 14:20:32,True,3G,Germany,Munich City Center,0.5020369377517357,0.5899927613531599,0.020878642888212267,0.7586206896551724
LTE,262,7,O2,2937,24433,48.15411364866719,11.570930347663465,1783,-72,2025-05-29 13:55:45,True,4G,Germany,Munich City Center,0.5152957005998199,0.5375523982918208,0.10689430187037842,0.4482758620689655
LTE,262,2,Vodafone,3083,39343,48.15319972136673,11.57526646538304,1769,-82,2025-04-07 03:58:08,True,4G,Germany,Munich City Center,0.5122395840459841,0.5463190063076515,0.10537190082644628,0.10344827586206896
LTE,262,2,Vodafone,2021,45219,48.14790524773178,11.558803191212311,1239,-56,2025-04-12 10:10:35,True,4G,Germany,Munich City Center,0.4945351905876631,0.5130341462909638,0.04773814702044367,1.0
LTE,262,7,O2,4630,27543,48.13211392593474,11.57705104930965,1650,-74,2025-07-13 13:11:03,True,4G,Germany,Munich City Center,0.44172998395183105,0.5499270143848592,0.09243149195302305,0.3793103448275862
LTE,262,1,Telekom,2613,40117,48.138515318457486,11.556182018439886,1524,-65,2024-10-16 03:43:41,True,4G,Germany,Munich City Center,0.46313584593509544,0.5077347527496202,0.07872988255763376,0.6896551724137931
LTE,262,1,Telekom,4290,25537,48.14726837119119,11.557631483437692,1219,-60,2025-05-03 18:16:40,True,4G,Germany,Munich City Center,0.49240551469608257,0.5106652293395599,0.045563288386254897,0.8620689655172413
LTE,262,1,Telekom,3012,38135,48.13450369864175,11.581380595399235,1717,-66,2025-03-13 17:21:37,True,4G,Germany,Munich City Center,0.4497212365669294,0.5586803361137677,0.09971726837755546,0.6551724137931034
UMTS,262,1,Telekom,1124,16955,48.131244902999754,11.599582820390868,1307,-84,2025-06-01 05:59:56,True,3G,Germany,Munich City Center,0.43882402482801797,0.5954809448235443,0.05513266637668551,0.034482758620689655
